営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
株式会社　槝之浦興産,812-0015,福岡市博多区山王一丁目１６番２１号,ＨＯＴＥＬ　ＮＥＸＵＳ　博多山王　１Ｆ,092-419-2020,ＨＯＴＥＬ　ＮＥＸＵＳ　博多山王,飲食店営業,一般食堂,福,博保衛,31010913,2026/3/31,2020/3/11,2020/3/11
株式会社　いっかくカンパニー,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン　Ｂ１１３,092-402-1221,いっかく食堂,飲食店営業,一般食堂,福,博保衛,31010872,2026/3/31,2020/3/11,2020/3/11
,812-0026,福岡市博多区上川端町１０番３号,ネクスト川端壱番館　２Ｆ,,煮こみ　中洲川端店,飲食店営業,一般食堂,福,博保衛,31010890,2026/3/31,2020/3/11,2020/3/11
株式会社　西鉄ストア,812-0013,福岡市博多区博多駅東二丁目７番２７号,,092-292-1949,レガネットキュート　テラソ店,飲食店営業,弁当屋,福,博保衛,31020529,2026/3/31,2020/3/11,2014/2/28
,810-0801,福岡市博多区中洲二丁目１番１５号,新橋小路　１F,092-263-7533,どないや　中洲店,飲食店営業,そうざい,福,博保衛,31010903,2026/3/31,2020/3/11,2020/3/11
,810-0801,福岡市博多区中洲二丁目８番２号,パインコート中洲　６Ｆ,092-263-0235,グラム,飲食店営業,一般食堂,福,博保衛,31020531,2026/3/31,2020/3/11,2002/3/7
,810-0801,福岡市博多区中洲二丁目３番１号,中洲Ｆビル　２階　２０４号室,,キャッスル・マウンテン,飲食店営業,カフェー,福,博保衛,31010908,2026/3/31,2020/3/11,2020/3/11
有限会社　元木商店,812-0858,福岡市博多区月隈一丁目１７番５号,,092-503-5253,（有）元木商店,飲食店営業,一般食堂,福,博保衛,31020540,2026/3/31,2020/3/12,1992/3/3
,812-0894,福岡市博多区諸岡五丁目３２番２号,,092-571-3711,居酒屋　五味焼,飲食店営業,一般食堂,福,博保衛,31020535,2026/3/31,2020/3/12,1996/2/28
,812-0043,福岡市博多区堅粕一丁目１番３号,,092-651-4505,ニュー宝島,飲食店営業,一般食堂,福,博保衛,31020534,2026/3/31,2020/3/12,2008/3/13
,812-0884,福岡市博多区寿町三丁目３番２２号,遊ＹＯＵ館　６Ｆ,092-571-1773,スナック　７３（セブンスリー）,飲食店営業,バー,福,博保衛,31020547,2026/3/31,2020/3/12,2014/3/11
,810-0801,福岡市博多区中洲三丁目１番２号,新川丈ビル１階,092-262-7740,メンバーズ　ハイハイ,飲食店営業,一般食堂,福,博保衛,31020538,2026/3/31,2020/3/12,2008/2/18
,810-0801,福岡市博多区中洲三丁目１番８号,ＴＭ－３２ＢＵＩＬＤＩＮＧ　４０２号,092-282-3917,楽勝ＢＡＲ　Ｔ－ＣＲＥＷ　４４／？,飲食店営業,一般食堂,福,博保衛,31020550,2026/3/31,2020/3/12,2014/3/18
,812-0011,福岡市博多区博多駅前三丁目１０番３０号,,092-474-2922,たまり処　ココ,飲食店営業,一般食堂,福,博保衛,31020539,2026/3/31,2020/3/12,2014/2/5
,812-0013,福岡市博多区博多駅東二丁目４番８号,ＮＩＴＡビル　６Ｆ,092-471-5050,トニーズバー,飲食店営業,一般食堂,福,博保衛,31020546,2026/3/31,2020/3/12,2014/2/19
,812-0039,福岡市博多区冷泉町６番２－１０１号,,092-260-1023,おかずと煮物　陽向,飲食店営業,一般食堂,福,博保衛,31020541,2026/3/31,2020/3/12,2014/1/27
株式会社　アストア,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン,092-402-0677,アイアムコーヒー,飲食店営業,主として喫茶,福,博保衛,31010897,2026/3/31,2020/3/12,2020/3/12
株式会社　アストア,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン,092-402-0688,ビアードパパ,菓子製造業,一般,福,博保衛,31050073,2026/3/31,2020/3/12,2020/3/12
,812-0017,福岡市博多区美野島二丁目４番１０号,,092-472-0017,やきとり　秀ちゃん,飲食店営業,一般食堂,福,博保衛,31020553,2026/3/31,2020/3/13,1996/3/8
,812-0011,福岡市博多区博多駅前三丁目２７番８号,草野ビル　１Ｆ,092-473-7891,誠月,飲食店営業,一般食堂,福,博保衛,31020557,2026/3/31,2020/3/13,2014/3/5
株式会社　宝縁,810-0801,福岡市博多区中洲五丁目４番１０号,グランエターナ福岡天神橋　２Ｆ,092-263-3199,博多かんべえ別邸,飲食店営業,一般食堂,福,博保衛,31020551,2026/3/31,2020/3/13,2014/3/24
,810-0801,福岡市博多区中洲四丁目３番１６号,フドウビル　４Ｆ　Ｂ,092-271-9061,Ｍｉｓｓテツヤ,飲食店営業,一般食堂,福,博保衛,31020554,2026/3/31,2020/3/13,1996/2/14
,812-0042,福岡市博多区豊二丁目１番２７号,,092-411-4150,食事の店　ハート,飲食店営業,一般食堂,福,博保衛,31020556,2026/3/31,2020/3/13,1996/1/23
,812-0036,福岡市博多区上呉服町１０番２５号,,,大博軒,飲食店営業,一般食堂,福,博保衛,31020558,2026/3/31,2020/3/13,2014/1/15
株式会社　アマージュ,812-0012,福岡市博多区博多駅中央街５番１５号,１Ｆ,092-434-5522,ＴＯＲＴＩＬＬＡ　ＦＬＡＴ,飲食店営業,一般食堂,福,博保衛,31020560,2026/3/31,2020/3/13,2014/3/19
株式会社　ネットタワー,812-0012,福岡市博多区博多駅中央街１番１号,１Ｆ　コンコース内,092-292-1833,ＣＨＡ　ＢＡＲ　博多店,飲食店営業,主として喫茶,福,博保衛,31010891,2026/3/31,2020/3/16,2020/3/16
,812-0026,福岡市博多区上川端町４番２０２号,,092-271-1345,日本酒ＢＡＲ　ＴＯＫＫＵＲＩ,飲食店営業,バー,福,博保衛,31010784,2026/3/31,2020/3/17,2020/3/17
,810-0801,福岡市博多区中洲三丁目４番６号,多門ビル＇８３　３Ｆ　Ｇ号室,092-262-7730,Ｐｅｓｃａ,飲食店営業,バー,福,博保衛,31010922,2026/3/31,2020/3/17,2020/3/17
株式会社　ＡＢＣフラワー,812-0026,福岡市博多区上川端町９番１７４号,２Ｆ,092-272-2532,あんみつ屋　四季房,飲食店営業,一般食堂,福,博保衛,31020562,2026/3/31,2020/3/17,2014/2/28
,812-0022,福岡市博多区神屋町３番２７号,,092-291-0811,博多ニューポートホテル,飲食店営業,旅館,福,博保衛,31020563,2026/3/31,2020/3/17,2008/3/26
,812-0024,福岡市博多区綱場町５番１０号,西山ビル　１Ｆ,092-062-0728,和心家　一分,飲食店営業,一般食堂,福,博保衛,31020566,2026/3/31,2020/3/17,2008/3/19
株式会社　タケノ,812-0046,福岡市博多区吉塚本町１３番２７号,１０４区画,092-643-7028,とんかつ　からあげ　あかね農場,飲食店営業,一般食堂,福,博保衛,31020564,2026/3/31,2020/3/17,2014/2/10
,812-0854,福岡市博多区東月隈四丁目２番１１号,,092-688-7237,ほるもん酒場　ＨＡＮＡ,飲食店営業,一般食堂,福,博保衛,31010933,2026/3/31,2020/3/18,2020/3/18
,812-0884,福岡市博多区寿町二丁目９番５号,シティコート南福岡　１F,092-588-1511,Ｇｅｎｋｉｄｏｒｉ,飲食店営業,一般食堂,福,博保衛,31020568,2026/3/31,2020/3/18,2008/2/27
株式会社　不二家,812-0027,福岡市博多区下川端町３番１号,博多リバレインビル　５Ｆ　福岡アンパンマンこどもミュージアムｉｎモール,092-291-8943,福岡アンパンマン＆ペコズキッチン,飲食店営業,主として喫茶,福,博保衛,31020570,2026/3/31,2020/3/18,2014/4/1
株式会社　不二家,812-0027,福岡市博多区下川端町３番１号,博多リバレインビル　５Ｆ　福岡アンパンマンこどもミュージアムｉｎモール,092-291-8943,福岡アンパンマン＆ペコズキッチン,飲食店営業,レストラン,福,博保衛,31020569,2026/3/31,2020/3/18,2014/4/1
株式会社　フォーユー,812-0013,福岡市博多区博多駅東二丁目３番２８号,博多駅東蒲池ビル　１Ｆ,092-292-5708,とんかつわか葉　博多駅筑紫口店,飲食店営業,一般食堂,福,博保衛,31020571,2026/3/31,2020/3/18,2014/3/17
株式会社　ツマミナ,812-0011,福岡市博多区博多駅前三丁目２２番５号,Ｍビル２号館　Ｂ１Ｆ,092-434-0111,炙り炉端　山尾　博多駅前,飲食店営業,一般食堂,福,博保衛,31020567,2026/3/31,2020/3/18,2014/2/21
,810-0801,福岡市博多区中洲三丁目４番２号,多門通り　１Ｆ,092-281-2324,中洲おでん,飲食店営業,一般食堂,福,博保衛,31020572,2026/3/31,2020/3/19,2014/3/28
イオン九州　株式会社,812-0016,福岡市博多区博多駅南六丁目９番７号,,092-452-7887,マックスバリュエクスプレス博多駅南店,飲食店営業,そうざい,福,博保衛,31010901,2026/3/31,2020/3/19,2020/3/19
イオン九州　株式会社,812-0016,福岡市博多区博多駅南六丁目９番７号,,092-452-7887,マックスバリュエクスプレス博多駅南店,魚介類販売業,一般,福,博保衛,31130052,2026/3/31,2020/3/19,2020/3/19
イオン九州　株式会社,812-0016,福岡市博多区博多駅南六丁目９番７号,,092-452-7887,マックスバリュエクスプレス博多駅南店,菓子製造業,パン,福,博保衛,31050074,2026/3/31,2020/3/19,2020/3/19
イオン九州　株式会社,812-0016,福岡市博多区博多駅南六丁目９番７号,,092-452-7887,マックスバリュエクスプレス博多駅南店,飲食店営業,すし屋,福,博保衛,31010902,2026/3/31,2020/3/19,2020/3/19
株式会社　ヴォール,812-0017,福岡市博多区美野島二丁目２番１号,大産美野島ビル　１Ｆ　１０１号室,092-402-0924,ＮｅｗスナックＧоＧоＢＡＲ美野島店,飲食店営業,バー,福,博保衛,31010937,2026/3/31,2020/3/19,2020/3/19
,810-0801,福岡市博多区中洲三丁目６番７号,ギャラリーヤマモトビル　６階　６０４号,092-263-7116,Ｐａｒｓｏｎ,飲食店営業,バー,福,博保衛,31010941,2026/3/31,2020/3/23,2020/3/23
株式会社　最上鮮魚,812-0894,福岡市博多区諸岡一丁目８番７号,,092-584-8990,最上鮮魚　マルショク諸岡店,飲食店営業,すし屋,福,博保衛,31020573,2026/3/31,2020/3/23,2002/2/7
株式会社　最上鮮魚,812-0894,福岡市博多区諸岡一丁目８番７号,,092-584-8990,最上鮮魚　マルショク諸岡店,魚介類販売業,一般,福,博保衛,31140046,2026/3/31,2020/3/23,2002/2/7
,812-0883,福岡市博多区南本町二丁目４番２２号,,092-571-0558,和,飲食店営業,一般食堂,福,博保衛,31020577,2026/3/31,2020/3/24,1973/2/27
,812-0036,福岡市博多区上呉服町１０番３０号,,092-282-7333,インドレストラン＆ＢＡＲガウレ博多,飲食店営業,一般食堂,福,博保衛,31010932,2026/3/31,2020/3/24,2020/3/24
,812-0024,福岡市博多区綱場町５番２３号,ウィステリアテラス綱場　１Ｆ　１０１,092-409-3371,鮨　花美,飲食店営業,すし屋,福,博保衛,31010895,2026/3/31,2020/3/24,2020/3/24
,812-0879,福岡市博多区銀天町二丁目３番３号,牛昌ビル　３Ｆ,092-588-4700,スナック　来再,飲食店営業,一般食堂,福,博保衛,31020574,2026/3/31,2020/3/24,2002/1/28
,812-0882,福岡市博多区麦野四丁目９番１４号,,092-586-4503,お母家　たけのこ,飲食店営業,一般食堂,福,博保衛,31020575,2026/3/31,2020/3/24,2008/3/3
株式会社　徳田商会,812-0025,福岡市博多区店屋町３番８号,,092-272-0175,博多もつ鍋　焼鳥くるくる,飲食店営業,一般食堂,福,博保衛,31010900,2026/3/31,2020/3/25,2020/3/25
,812-0879,福岡市博多区銀天町二丁目３番３号,牛昌ビル３０５号,092-574-5390,ＣＯＣＯ　Ｒ,飲食店営業,バー,福,博保衛,31020578,2026/3/31,2020/3/26,2014/2/6
,812-0036,福岡市博多区上呉服町１０番２０４号,１Ｆ,092-262-1780,笑ん,飲食店営業,一般食堂,福,博保衛,31020579,2026/3/31,2020/3/26,2014/3/26
,812-0011,福岡市博多区博多駅前三丁目２７番２４号,タナカビル　Ｂ１Ｆ,092-413-2777,照　博多口店,飲食店営業,一般食堂,福,博保衛,31010938,2026/3/31,2020/3/26,2020/3/26
,810-0801,福岡市博多区中洲二丁目６番１２号,第５ラインビル　５Ｆ,092-272-0448,セシル,飲食店営業,一般食堂,福,博保衛,31020580,2026/3/31,2020/3/27,1986/2/10
,810-0801,福岡市博多区中洲二丁目７番２６号,フタバビル　１階,092-281-2278,お食事処ひらの,飲食店営業,一般食堂,福,博保衛,31010924,2026/3/31,2020/3/27,2020/3/27
株式会社　ドラマティック,812-0011,福岡市博多区博多駅前四丁目３番３号,博多八百治ビル　１Ｆ,092-402-1410,焼売酒場いしい博多店,飲食店営業,一般食堂,福,博保衛,31010906,2026/3/31,2020/3/30,2020/3/30
株式会社　トレジャー,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン,092-645-2210,すしえもんＢＲＡＮＣＨ博多パピヨンガーデン店,飲食店営業,すし屋,福,博保衛,31010950,2026/3/31,2020/3/30,2020/3/30
株式会社　赤門屋,812-0878,福岡市博多区竹丘町一丁目４番３号,,092-591-2214,牛もつ鍋　宗家　赤門屋,飲食店営業,一般食堂,福,博保衛,31010960,2026/3/31,2020/3/30,2020/3/30
,812-0026,福岡市博多区上川端町４番２０３号,,092-263-3753,うまかもん屋　呑兵衛,飲食店営業,一般食堂,福,博保衛,31010940,2026/3/31,2020/3/30,2020/3/30
,810-0801,福岡市博多区中洲二丁目５番１１号,ＧＩＯ２ビル　３階　全号室,092-282-3330,Ｃａｆｅｂａｒ　Ｃａｃｈｅｔｔｅ,飲食店営業,バー,福,博保衛,31010943,2026/3/31,2020/3/30,2020/3/30
,812-0016,福岡市博多区博多駅南六丁目１４番４０号,,,ちゃが,飲食店営業,一般食堂,福,博保衛,31010958,2026/3/31,2020/3/31,2020/3/31
筑前ハム　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,２Ｆ,092-571-8686,筑前ハム株式会社,食品の冷凍又は冷蔵業,なし,福,博保衛,31190003,2026/3/31,2020/3/31,2020/3/31
筑前ハム　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,２Ｆ,092-571-8686,筑前ハム株式会社,食肉販売業,一般,福,博保衛,31330053,2026/3/31,2020/3/31,2020/3/31
佐藤　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,１Ｆ,092-571-8717,佐藤株式会社,食肉処理業,食肉処理,福,博保衛,31310002,2026/3/31,2020/3/31,2020/3/31
筑前ハム　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,２Ｆ,092-571-8686,筑前ハム株式会社,食肉製品製造業,なし,福,博保衛,31350001,2026/3/31,2020/3/31,2020/3/31
株式会社　内田家ＪＡＰＡＮ,812-0011,福岡市博多区博多駅前三丁目９番１２号,,092-292-3005,ラーメン内田家,飲食店営業,一般食堂,福,博保衛,31010968,2026/3/31,2020/3/31,2020/3/31
株式会社　日創,810-0801,福岡市博多区中洲三丁目６番１７号,,092-291-9000,グリーンランド中洲,飲食店営業,旅館,福,博保衛,31010969,2026/3/31,2020/4/1,2020/4/1
有限会社　アズリ,812-0012,福岡市博多区博多駅中央街９番１号,ＫＩＴＴＥ博多　９Ｆ,092-409-2211,博多の大衆料理　喜水丸,飲食店営業,一般食堂,福,博保衛,31010905,2026/3/31,2020/4/1,2020/4/1
有限会社　ディー・ディー・カンパニー,810-0801,福岡市博多区中洲五丁目５番１号,三井ガーデンホテル福岡中洲　１階,092-402-0988,小野の離れ　博多本店,飲食店営業,一般食堂,福,博保衛,32010002,2026/6/30,2020/4/2,2020/4/2
株式会社　トライデント,812-0018,福岡市博多区住吉三丁目９番２３号,,092-263-4612,ｓｅｐｔ,飲食店営業,バー,福,博保衛,31010951,2026/6/30,2020/4/2,2020/4/2
,812-0044,福岡市博多区千代三丁目１番１３号,１Ｆ,092-641-5885,スピキン,飲食店営業,仕出し,福,博保衛,31010967,2026/6/30,2020/4/2,2020/4/2
朝日給食サービス　株式会社,812-0002,福岡市博多区空港前四丁目１７番１号,,,福岡市立席田小学校,飲食店営業,一般食堂,福,博保衛,31010916,2026/6/30,2020/4/2,2020/4/2
ＬＯＶＥトウェンティセブン株式会社,810-0034,福岡市中央区笹丘一丁目２８番７４号,イオンスタイル笹丘Ｂ１Ｆ,092-401-1999,Ｑｕｉｃｋ　ｔｅａ,飲食店営業,主として喫茶,福,中保衛,31011083,2026/6/30,2020/4/2,2020/4/2
亮英合同会社,810-0011,福岡市中央区高砂二丁目１２番１０号,ミツワマンション高砂１０４室,092-707-3699,張家菜館,飲食店営業,一般食堂,福,中保衛,31011111,2026/6/30,2020/4/2,2020/4/2
